                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              0,0	0,0,0,a,1.0,[],[]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         1,1	1,1,0,a,1.0,[],[0;2;4]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         2,2	2,2,0,a,1.0,[],[0;1;3]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         3,3	3,3,0,a,1.0,[],[0;2;4]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         4,4	4,4,0,a,1.0,[],[0;1;3]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         5,5	5,5,0,a,1.0,[],[6;7;9]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       6,6	6,6,0,a,1.0,[],[5;7;8;9]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7,7	7,7,0,a,1.0,[],[5;6;8;9]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         8,8	8,8,0,a,1.0,[],[6;7;9]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       9,9	9,9,0,a,1.0,[],[5;6;7;8]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10,10	10,10,0,a,1.0,[],[11;12;13]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  11,11	11,11,0,a,1.0,[],[10;12;13]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12,12	12,12,0,a,1.0,[],[10;11;13]
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  13,13	13,13,0,a,1.0,[],[10;11;12]
